Data;Último;Abertura;Máxima;Mínima;Var%
mai/11;1,58;1,577;1,6457;1,5685;0,16%
abr/11;1,5775;1,6318;1,6318;1,5565;-3,34%
mar/11;1,632;1,664;1,6932;1,6205;-1,91%
fev/11;1,6638;1,6672;1,6806;1,6553;-0,22%
jan/11;1,6675;1,6598;1,6967;1,6433;0,48%
dez/10;1,6595;1,7138;1,722;1,6593;-3,24%
nov/10;1,715;1,7012;1,7428;1,6685;0,81%
out/10;1,7012;1,6876;1,7252;1,6433;0,81%
set/10;1,6876;1,7549;1,7593;1,6855;-3,84%
ago/10;1,755;1,7541;1,7822;1,7431;0,06%
jul/10;1,754;1,8052;1,8138;1,7495;-2,77%
jun/10;1,8039;1,8194;1,8824;1,7487;-0,89%
mai/10;1,8201;1,7372;1,916;1,7252;4,75%
abr/10;1,7375;1,7832;1,7932;1,7225;-2,59%
mar/10;1,7837;1,8058;1,8302;1,7563;-1,30%
fev/10;1,8072;1,8685;1,898;1,7874;-4,13%
jan/10;1,885;1,7291;1,8971;1,7138;8,15%
dez/09;1,743;1,7497;1,8011;1,6995;-0,71%
nov/09;1,7555;1,7635;1,7805;1,693;-0,45%
out/09;1,7635;1,772;1,8074;1,697;-0,45%
set/09;1,7715;1,879;1,9217;1,7588;-5,78%
ago/09;1,8802;1,8655;1,9052;1,8071;0,82%
jul/09;1,865;1,9525;2,028;1,861;-4,48%
jun/09;1,9525;1,9715;2,0383;1,9083;-0,96%
mai/09;1,9715;2,1898;2,1898;1,965;-9,97%
abr/09;2,1898;2,317;2,3175;2,1585;-5,49%
mar/09;2,3169;2,3905;2,4505;2,215;-3,12%
fev/09;2,3914;2,3222;2,4085;2,2277;3,08%
jan/09;2,32;2,3317;2,401;2,1585;0,24%
dez/08;2,3145;2,3045;2,6218;2,2834;0,48%
nov/08;2,3034;2,1647;2,4787;2,0877;6,43%
out/08;2,1642;1,9035;2,5305;1,8951;13,51%
set/08;1,9066;1,6422;1,9687;1,6398;16,97%
ago/08;1,63;1,561;1,6493;1,5551;4,02%
